id,host_id,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13398813,14427553,1,1.31063,103.85858,0,50,3,3,620.0,0.1,1,0
13399444,29355159,5,1.4445700000000001,103.80224,0,60,1,28,134.0,0.73,1,343
13403663,44411001,1,1.29625,103.83828000000001,0,44,1,0,1887.0,,1,0
13418425,23722617,1,1.31314,103.88665,1,82,5,70,44.0,2.06,84,41
13427017,13716970,1,1.29193,103.80521999999999,2,139,1,0,1887.0,,1,0
13466226,2413412,1,1.28388,103.84199,0,35,90,4,939.0,0.1,112,354
13472462,77033455,3,1.32064,103.92156,0,65,1,7,14.0,0.26,4,81
13477082,1192918,1,1.29629,103.83707,1,106,4,2,1114.0,0.05,1,0
13485944,77249917,5,1.45146,103.81965,0,140,1,0,1887.0,,1,0
13488112,3073051,1,1.28443,103.83261999999999,0,60,2,2,1073.0,0.05,1,0
13521712,77677739,1,1.3076299999999998,103.86384,0,53,7,0,1887.0,,1,0
13523211,3863993,1,1.30872,103.86203,1,117,3,2,973.0,0.06,1,0
13540021,51503267,2,1.3392899999999999,103.70251,0,44,180,0,1887.0,,1,364
13552548,78041457,1,1.31732,103.88965999999999,1,219,1,0,1887.0,,4,0
13552612,20454098,3,1.3711200000000001,103.94338,0,60,1,0,1887.0,,1,0
13556435,78080643,5,1.4275200000000001,103.77418,0,58,2,33,310.0,1.01,2,30
13559548,78080643,5,1.42582,103.77431,0,42,2,7,3.0,0.18,2,78
13564547,78041457,1,1.3162,103.89074000000001,0,60,1,0,1887.0,,4,0
13564613,78041457,1,1.31754,103.89146,2,44,1,0,1887.0,,4,0
13564679,78041457,1,1.31653,103.89019,2,44,1,0,1887.0,,4,0
13566223,21386653,4,1.37058,103.89860999999999,0,69,1,11,712.0,0.29,1,90
13579926,19098758,2,1.33805,103.72159,0,119,1,0,1887.0,,2,0
13580272,19098758,2,1.33805,103.72213,0,119,1,0,1887.0,,2,0
13586347,35445359,2,1.35795,103.75972,0,119,1,1,1104.0,0.03,1,0
13592926,9944854,2,1.38106,103.75938000000001,1,99,5,0,1887.0,,1,0
13614579,54548984,3,1.3162,103.91008000000001,1,300,3,1,1106.0,0.03,1,0
13625358,78957706,1,1.31582,103.88708000000001,1,128,1,12,435.0,0.31,1,0
13633684,15503071,1,1.31539,103.85379,0,86,90,9,605.0,0.24,13,252
13642646,65526303,1,1.30439,103.78416999999999,0,57,180,20,763.0,0.52,3,0
13643303,7604436,1,1.30674,103.89929000000001,0,168,30,3,1026.0,0.08,1,358
13659860,10802615,1,1.2801200000000001,103.84793,1,181,90,0,1887.0,,3,358
13659955,78069341,3,1.3337299999999999,103.91651,0,100,1,0,1887.0,,1,0
13664592,53686623,1,1.3156299999999999,103.88696,1,69,2,1,1134.0,0.03,1,0
13668845,79489536,3,1.35517,103.95939,0,56,93,15,834.0,0.42,1,89
13669212,56351477,1,1.27495,103.83695,0,44,2,4,968.0,0.1,2,0
13692568,21859551,3,1.35514,103.9671,1,112,90,4,568.0,0.14,1,358
13695010,15503071,1,1.31352,103.85505,0,51,90,23,114.0,0.61,13,259
13703898,9453430,3,1.37389,103.94665,0,50,2,42,21.0,1.53,1,329
13717530,56683818,2,1.34287,103.70175,0,58,30,24,34.0,2.32,1,364
13718136,54796732,2,1.38113,103.758,0,75,1,0,1887.0,,1,0
13735926,80393016,1,1.29735,103.83482,0,85,2,1,1142.0,0.03,1,0
13748493,47529686,4,1.34664,103.8825,0,44,15,0,1887.0,,2,0
13756029,76690273,2,1.4062,103.66547,1,60,180,2,1146.0,0.05,1,364
13762245,80695251,1,1.31892,103.86357,0,78,4,1,1132.0,0.03,1,0
13776177,80866672,1,1.2829700000000002,103.7822,1,124,1,0,1887.0,,1,0
13788892,9478518,1,1.3143200000000002,103.8054,0,62,30,0,1887.0,,1,0
13803431,23196627,1,1.3193700000000002,103.86668,0,85,90,63,494.0,1.65,1,364
13809823,1170341,1,1.2930000000000001,103.82961999999999,0,167,30,17,512.0,0.53,3,298
13811978,7080517,1,1.3171,103.86435,1,87,30,16,126.0,0.42,11,306
13819163,15032041,1,1.31474,103.89004,0,49,90,9,689.0,0.24,1,0
13839454,81655592,3,1.3303399999999999,103.92282,0,40,1,13,60.0,0.35,1,0
13849440,15503071,1,1.31392,103.85573000000001,0,43,90,2,724.0,0.05,13,365
13855049,229339,1,1.28367,103.8306,1,97,2,1,1140.0,0.03,26,329
13872285,82046926,1,1.2984200000000001,103.83542,1,181,180,3,1094.0,0.08,1,0
13874038,15553995,3,1.3145,103.9065,0,51,1,4,21.0,0.31,8,271
13875517,65549406,3,1.34018,103.95014,1,100,30,0,1887.0,,2,208
13915924,28899200,1,1.3530000000000002,103.83496,0,100,1,20,44.0,0.78,2,58
13916323,82588031,1,1.26504,103.8146,0,110,1,0,1887.0,,1,0
